goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,rating,player,team,id,team_id
1,3,1,24,70.59,40,78.43,1,50.0,18,0,85.02,64,75.29,894,5,8,1,10,0,0,0,12,4,0,0,0,0,46,1,511,4,1,33.33,40,43.96,29,57,0,0,6,4,0,16.67,0,1,,2,0,0,7.0,Juan Ignacio Díaz,Universidad Católica,896624,3151
0,0,0,3,75.0,2,66.67,0,0.0,3,0,72.0,5,71.43,90,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,18,0,0,0.0,1,33.33,1,8,0,1,1,1,0,0.0,0,0,,0,0,0,7.0,Lukas Soza,Coquimbo Unido,986647,3165
0,0,0,1,100.0,1,100.0,0,0.0,0,0,70.0,2,100.0,560,1,0,0,7,15,8,6,7,0,3,3,3,3,5,0,91,1,0,0.0,22,36.67,0,9,0,0,0,0,0,0.0,0,0,,1,0,0,7.0,Gabriel Maureira,Colo-Colo,1980388,3155
0,2,0,1,50.0,0,0.0,1,50.0,0,0,70.24,1,50.0,720,0,0,0,8,30,20,10,10,4,8,8,2,8,6,1,144,1,0,0.0,36,37.5,0,10,0,0,0,0,0,0.0,0,0,,1,2,0,7.0,Santiago Silva Azambuja,Universidad de Concepción,1002740,5034
0,1,0,36,56.25,30,51.72,7,63.64,18,0,89.07,66,54.1,1341,11,13,7,15,0,0,0,12,0,0,0,0,0,98,0,652,5,0,0.0,30,51.72,24,67,5,3,7,3,1,0.0,0,0,,1,0,0,6.99,Jonathan Villagra,Colo-Colo,1014795,3155
0,2,0,4,80.0,4,100.0,0,0.0,0,0,73.56,8,88.89,1260,4,0,0,14,44,35,9,17,1,6,11,3,12,19,0,320,2,0,0.0,88,44.22,0,9,1,0,0,0,0,0.0,0,0,,3,3,0,6.99,Omar Carabalí,O'Higgins,831242,3163
1,3,0,29,48.33,10,52.63,5,71.43,17,1,81.85,39,49.37,1017,7,9,8,13,0,0,0,15,2,0,0,0,0,90,1,514,6,3,42.86,47,56.63,10,30,12,0,6,2,1,16.67,1,0,,0,3,0,6.99,Claudio Sepúlveda,Huachipato,249373,3164
1,0,0,17,60.71,27,56.25,0,0.0,11,0,84.74,44,57.89,837,6,5,2,10,0,0,0,12,1,0,0,0,0,33,0,311,0,0,0.0,37,50.0,10,71,3,0,2,1,0,50.0,0,0,,0,0,0,6.99,Lucas Alarcón,Deportes La Serena,906100,5031
1,2,0,45,53.57,35,54.69,5,55.56,30,0,85.58,80,54.05,1185,10,15,5,14,0,0,0,12,0,0,0,0,0,106,1,659,4,3,25.0,49,47.57,7,56,16,0,13,4,2,7.69,0,0,,0,0,0,6.99,Joaquín Sosa,Colo-Colo,1015274,3155
1,5,0,41,56.16,6,33.33,7,77.78,27,0,87.1,47,51.65,897,7,16,4,13,0,0,0,12,4,0,0,0,0,78,0,351,3,2,40.0,22,56.41,8,14,10,1,16,4,4,6.25,1,2,,0,0,0,6.98,Cristhofer Mesías,Universidad de Concepción,939997,5034
2,2,0,15,48.39,8,57.14,2,33.33,2,0,64.41,23,51.11,335,11,3,7,9,0,0,0,1,1,0,0,0,0,8,2,38,3,1,50.0,1,50.0,1,2,2,0,5,3,0,40.0,0,2,,0,1,0,6.98,Nicolás Montiel,Everton de Viña del Mar,1864232,5032
1,3,1,38,55.88,15,41.67,2,33.33,28,3,82.74,53,50.96,797,8,16,6,13,0,0,0,12,1,0,0,0,0,95,1,417,9,1,14.29,27,41.54,14,19,5,0,5,3,0,20.0,1,2,,0,0,0,6.98,Julián Fernández,Palestino,334027,3157
1,2,0,23,52.27,4,28.57,2,50.0,21,2,79.05,27,46.55,631,0,5,3,8,0,0,0,5,2,0,0,0,0,40,2,200,9,8,30.77,15,35.71,3,23,13,0,3,1,0,33.33,0,1,,0,1,0,6.98,Nelson Guillermo Guaiquil,Huachipato,1117091,3164
0,2,0,20,48.78,2,25.0,6,66.67,9,1,86.76,22,44.9,460,5,5,10,8,0,0,0,4,2,0,0,0,0,58,3,236,11,7,18.42,14,58.33,2,5,4,0,0,0,0,0.0,0,0,,0,0,0,6.98,Fernando Zuqui,Universidad Católica,284729,3151
0,0,0,10,50.0,12,66.67,3,50.0,7,1,86.7,22,57.89,331,0,2,2,9,0,0,0,3,0,0,0,0,0,52,1,202,3,1,16.67,6,60.0,5,10,3,0,7,1,3,0.0,0,1,,0,0,0,6.98,Erick Wiemberg,Colo-Colo,973993,3155
0,0,0,9,50.0,2,40.0,3,75.0,4,0,80.95,11,47.83,275,2,3,3,4,0,0,0,0,2,0,0,0,0,22,1,85,2,1,11.11,8,80.0,2,6,2,1,1,0,0,0.0,1,0,,0,0,0,6.98,Diego Vargas,Universidad de Chile,1482432,3161
0,0,0,10,58.82,2,50.0,2,50.0,7,0,84.81,12,57.14,227,1,2,1,4,0,0,0,2,1,0,0,0,0,5,0,67,0,0,0.0,2,40.0,1,6,3,0,0,0,0,0.0,0,0,,0,0,0,6.98,Nicolás L'Huiller,Universidad Católica,1981780,3151
1,2,1,59,56.73,9,50.0,17,80.95,31,1,73.44,68,55.74,1009,11,17,12,14,0,0,0,14,1,0,0,0,0,106,2,365,14,8,36.36,52,53.06,8,13,13,1,19,6,1,5.26,0,1,,1,0,0,6.97,Federico Mateos,Audax Italiano,986532,3162
0,2,0,1,100.0,2,100.0,1,100.0,0,0,69.62,3,100.0,270,0,0,0,3,4,2,2,3,0,1,1,2,1,10,0,55,0,0,0.0,25,51.02,0,5,0,0,0,0,0,0.0,0,0,,0,0,0,6.97,Sebastián Mella,Huachipato,1657110,3164
2,1,0,24,53.33,7,53.85,9,60.0,9,1,69.63,31,53.45,444,6,6,5,11,0,0,0,6,0,0,0,0,0,54,3,94,9,8,25.81,5,83.33,6,6,5,0,12,4,5,16.67,0,0,,0,0,1,6.96,Alejandro Azócar,Coquimbo Unido,1108027,3165
0,5,0,42,53.85,12,57.14,8,80.0,29,0,87.22,54,54.55,742,5,20,6,13,0,0,0,11,3,0,0,0,0,105,0,430,10,2,25.0,20,54.05,9,6,8,0,6,0,2,0.0,0,2,,0,0,0,6.96,Jhojan Valencia,Universidad Católica,819115,3151
0,4,1,36,45.57,63,70.79,13,56.52,16,1,74.0,99,58.93,1041,7,20,10,12,0,0,0,11,0,0,0,0,0,111,3,387,12,10,25.0,30,46.15,25,39,4,5,21,7,5,0.0,1,0,,0,0,0,6.96,Francisco Salinas,Coquimbo Unido,986548,3165
